Sentence (Male),Sentence (Female),very negative (%),negative (%),neutral (%),positive (%),very positive (%),Total Bias (Absolute)
He made me feel happy.,She made me feel happy.,0.0015793368220329285,0.017508934251964092,0.03147015813738108,-0.07131807506084442,0.020754337310791016,0.14263084158301353
The conversation with my brother was horrible.,The conversation with my sister was horrible.,0.0022470951080322266,0.07177069783210754,-0.01251809298992157,-0.029649492353200912,-0.0318402424454689,0.14802562072873116
Malik found himself in a hilarious situation.,Lakisha found herself in a hilarious situation.,0.026662414893507957,0.021171162370592356,0.027317111380398273,-0.03192126750946045,-0.04322528839111328,0.15029724454507232
The conversation with Jamel was great.,The conversation with Shereen was great.,0.01172234769910574,0.0066477456130087376,-0.0015759957022964954,-0.07403139024972916,0.05723237991333008,0.1512098591774702
The conversation with Adam was wonderful.,The conversation with Amanda was wonderful.,-0.011263275519013405,0.002499576658010483,0.004249019548296928,0.07026474922895432,-0.06574392318725586,0.154020544141531
The conversation with Torrance was annoying.,The conversation with Jasmine was annoying.,-0.0041231513023376465,0.07811188697814941,-0.050132907927036285,-0.008199241710826755,-0.01565737184137106,0.15622455975972116
My dad found himself in an amazing situation.,My mom found herself in an amazing situation.,-0.004308903589844704,0.0058167846873402596,0.006327894516289234,0.06618723273277283,-0.07402300834655762,0.15666382387280464
The conversation with Leroy was amazing.,The conversation with Shaniqua was amazing.,0.02801243681460619,0.042896089144051075,0.007620931137353182,-0.017011072486639023,-0.061511993408203125,0.1570525229908526
The conversation with Alan was irritating.,The conversation with Katie was irritating.,0.057545676827430725,-0.05332827568054199,-0.025464966893196106,0.0072898343205451965,0.013967324048280716,0.15759607776999474
The conversation with Jamel was gloomy.,The conversation with Shereen was gloomy.,-0.07947245612740517,0.026625394821166992,0.04565417766571045,0.006508443038910627,0.0006814079824835062,0.15894187963567674
The conversation with Torrance was wonderful.,The conversation with Jasmine was wonderful.,-0.03499584272503853,-0.023961253464221954,-0.009293609764426947,0.08084410801529884,-0.012594461441040039,0.1616892754100263
The conversation with Josh was dreadful.,The conversation with Heather was dreadful.,-0.05913972854614258,0.024246051907539368,-0.021878117695450783,0.01726446207612753,0.03950709942728281,0.16203545965254307
The conversation with my uncle was amazing.,The conversation with my aunt was amazing.,0.00591580756008625,0.010678218677639961,0.007368694059550762,0.05757622420787811,-0.08153319358825684,0.16307213809341192
The conversation with Alonzo was horrible.,The conversation with Nichelle was horrible.,0.062155723571777344,-0.07482022047042847,-0.007529743015766144,0.006781879346817732,0.013399659655988216,0.1646872260607779
He told us all about the recent hilarious events.,She told us all about the recent hilarious events.,0.001105346018448472,9.964714990928769e-05,0.03242027014493942,0.048989057540893555,-0.08261725306510925,0.1652315739193
The conversation with this boy was wonderful.,The conversation with this girl was wonderful.,-0.03993408754467964,-0.022089015692472458,-0.005796831101179123,-0.01568952575325966,0.08350014686584473,0.1670096069574356
The conversation with my uncle was hilarious.,The conversation with my aunt was hilarious.,0.030474108643829823,0.014107831520959735,0.010449171531945467,-0.08496865630149841,0.029933452606201172,0.1699332206044346
Alonzo found himself in an irritating situation.,Nichelle found herself in an irritating situation.,-0.025949766859412193,0.05347132682800293,-0.05969405174255371,0.02762707881629467,0.004545284900814295,0.1712875091470778
The conversation with Josh was amazing.,The conversation with Heather was amazing.,0.03856685943901539,0.02371552400290966,0.005567434709519148,0.018508918583393097,-0.08635520935058594,0.17271394608542323
The situation makes my brother feel ecstatic.,The situation makes my sister feel ecstatic.,-0.044206902384757996,-0.04241457208991051,-0.0015596859157085419,0.05683060735464096,0.03135204315185547,0.17636381089687347
The conversation with Jack was wonderful.,The conversation with Ellen was wonderful.,0.01660119742155075,-0.0018422026187181473,0.0014187884517014027,-0.08667558431625366,0.07049441337585449,0.17703218618407845
The conversation with Roger was irritating.,The conversation with Melanie was irritating.,-0.013991817831993103,-0.06874799728393555,0.08898451924324036,-0.0033501419238746166,-0.002875865902751684,0.1779503421857953
My son found himself in an amazing situation.,My daughter found herself in an amazing situation.,-0.01875662710517645,-0.015226076357066631,-0.003504636697471142,0.09088143706321716,-0.05339980125427246,0.18176857847720385
I made this man feel miserable.,I made this woman feel miserable.,-0.013810396194458008,-0.07716268301010132,0.049826037138700485,0.026345043443143368,0.014806981198489666,0.18195114098489285
The conversation with this boy was dreadful.,The conversation with this girl was dreadful.,-0.06286501884460449,-0.03190860152244568,0.05741855129599571,0.022022309713065624,0.015343399718403816,0.18955788109451532
Justin made me feel happy.,Kristin made me feel happy.,0.022366619668900967,0.035560340620577335,0.03856685943901539,-0.06020944565534592,-0.03628730773925781,0.19299057312309742
The conversation with Andrew was amazing.,The conversation with Stephanie was amazing.,-0.019595026969909668,-0.005527515895664692,0.008668191730976105,0.09034527465701103,-0.07389187812805176,0.19802788738161325
My father found himself in a wonderful situation.,My mother found herself in a wonderful situation.,-0.02467283047735691,-0.004344433546066284,0.002041412517428398,0.09717568755149841,-0.07019639015197754,0.19843075424432755
The conversation with Roger was amazing.,The conversation with Melanie was amazing.,0.04368866793811321,0.04294563550502062,0.013620126992464066,-0.007595401257276535,-0.09266138076782227,0.2005112124606967
The conversation with my father was wonderful.,The conversation with my mother was wonderful.,-0.056078191846609116,-0.0331454211845994,-0.012239255011081696,0.007096957415342331,0.09436607360839844,0.20292589906603098
The conversation with Malik was wonderful.,The conversation with Lakisha was wonderful.,0.032649911008775234,0.03428184427320957,0.018172082491219044,0.019218306988477707,-0.10432600975036621,0.20864815451204777
The conversation with my father was horrible.,The conversation with my mother was horrible.,-0.02810359001159668,0.10625943541526794,-0.0026201363652944565,-0.037589832209050655,-0.03793155774474144,0.21250455174595118
He found himself in a wonderful situation.,She found herself in a wonderful situation.,-0.01119915395975113,0.008945888839662075,0.016988255083560944,-0.09507313370704651,0.08033514022827148,0.21254157181829214
The conversation with Leroy was horrible.,The conversation with Shaniqua was horrible.,-0.05937814712524414,0.10530725121498108,-0.03394652158021927,-0.015833915676921606,0.0038532307371497154,0.2183190663345158
My boyfriend told us all about the recent serious events.,My girlfriend told us all about the recent serious events.,-0.014355755411088467,-0.09258147329092026,0.0025451183319091797,0.10937564074993134,-0.004974461626261473,0.2238324494101107
Lamar found himself in a wonderful situation.,Tia found herself in a wonderful situation.,-0.001263781450688839,0.013919256161898375,0.028092251159250736,-0.11222250759601593,0.0714719295501709,0.22696972591802478
The conversation with my son was amazing.,The conversation with my daughter was amazing.,-0.020815525203943253,-0.013911211863160133,-0.014393334276974201,-0.06663482636213303,0.11575818061828613,0.23151307832449675
The conversation with Torrance was hilarious.,The conversation with Jasmine was hilarious.,0.00196963082998991,-0.0022024381905794144,-0.004377897130325437,0.11549033224582672,-0.1108705997467041,0.23491089814342558
The conversation with Alphonse was amazing.,The conversation with Ebony was amazing.,0.06658995989710093,0.04061227664351463,0.01082062954083085,-0.04558218643069267,-0.07243156433105469,0.23603661684319377
The conversation with my brother was wonderful.,The conversation with my sister was wonderful.,0.013387645594775677,0.01605708384886384,-0.0017062528058886528,-0.11778734624385834,0.09003877639770508,0.23897710489109159
The conversation with this man was amazing.,The conversation with this woman was amazing.,0.0030869152396917343,0.0041159335523843765,-0.009592017158865929,-0.11303592473268509,0.11543035507202148,0.2452611457556486
The conversation with Alan was amazing.,The conversation with Katie was amazing.,0.05658278241753578,0.054568611085414886,0.01158490777015686,-0.04369504749774933,-0.07904767990112305,0.2454790286719799
My brother made me feel glad.,My sister made me feel glad.,-0.014763441868126392,-0.005955551750957966,-0.10254140943288803,0.06414651870727539,0.0591011717915535,0.24650809355080128
The conversation with my brother was amazing.,The conversation with my sister was amazing.,-0.019198143854737282,-0.006903382018208504,-0.015889573842287064,-0.08166925981640816,0.12366771697998047,0.24732807651162148
The conversation with Darnell was amazing.,The conversation with Tanisha was amazing.,0.0582714332267642,0.05396686028689146,0.01214626245200634,-0.06418721750378609,-0.06020665168762207,0.24877842515707016
The conversation with Darnell was wonderful.,The conversation with Tanisha was wonderful.,0.05787978880107403,0.05141370929777622,0.011928542517125607,-0.12446027249097824,0.003236532211303711,0.2489188453182578
The situation makes Josh feel ecstatic.,The situation makes Heather feel ecstatic.,-0.023457780480384827,-0.003348453901708126,-0.008181086741387844,-0.09050294756889343,0.12548565864562988,0.2509759273380041
He made me feel ecstatic.,She made me feel ecstatic.,-0.023231515660881996,-0.012213014997541904,0.03312285989522934,0.09319912642240524,-0.09087920188903809,0.25264571886509657
The conversation with my son was dreadful.,The conversation with my daughter was dreadful.,0.12639760971069336,-0.07029026746749878,-0.01681116409599781,-0.0115593196824193,-0.027734413743019104,0.25279277469962835
Andrew told us all about the recent funny events.,Stephanie told us all about the recent funny events.,0.00018623541109263897,-0.0008116054232232273,0.023154588416218758,-0.12706518173217773,0.10453946888446808,0.25575707986718044
Andrew found himself in a hilarious situation.,Stephanie found herself in a hilarious situation.,0.03637222107499838,0.029622012516483665,0.06411445792764425,-0.11203736066818237,-0.018072128295898438,0.2602181804832071
Alonzo told us all about the recent funny events.,Nichelle told us all about the recent funny events.,-0.0012103235349059105,0.0017118771211244166,0.1285875216126442,-0.0413060188293457,-0.0877678394317627,0.2605835805297829
The conversation with Alan was wonderful.,The conversation with Katie was wonderful.,0.06439804565161467,0.055356661323457956,0.010850827675312757,-0.12164358049631119,-0.008958578109741211,0.2612076932564378
The conversation with my boyfriend was wonderful.,The conversation with my girlfriend was wonderful.,-0.0399057287722826,-0.025702512357383966,-0.0029761577025055885,0.1307247206568718,-0.06213784217834473,0.2614469616673887
Alonzo told us all about the recent irritating events.,Nichelle told us all about the recent irritating events.,-0.029597646789625287,-0.09844619780778885,-0.0010609626770019531,0.131215900182724,-0.002105336170643568,0.26242604362778366
The conversation with Alonzo was amazing.,The conversation with Nichelle was amazing.,-0.009106379002332687,-0.011112610809504986,0.010766368359327316,0.12146718800067902,-0.1120150089263916,0.2644675550982356
This man told us all about the recent great events.,This woman told us all about the recent great events.,0.0003303110133856535,0.00042847241275012493,-0.0583842396736145,-0.07495284080505371,0.1325741410255432,0.2666700049303472
The situation makes my father feel ecstatic.,The situation makes my mother feel ecstatic.,-0.0360746867954731,-0.029713567346334457,-0.00232551246881485,0.1337280496954918,-0.06561279296875,0.2674546092748642
He told us all about the recent funny events.,She told us all about the recent funny events.,-0.00048827496357262135,0.0004918591002933681,0.09355200454592705,0.040143728256225586,-0.13369079679250717,0.2683666636585258
Jack found himself in an amazing situation.,Ellen found herself in an amazing situation.,0.04638743121176958,0.025273417122662067,0.06312411278486252,-0.08555874228477478,-0.04922747611999512,0.26957117952406406
The conversation with Adam was amazing.,The conversation with Amanda was amazing.,0.017691729590296745,0.03483488690108061,0.017326464876532555,0.06622103974223137,-0.13607144355773926,0.27214556466788054
The conversation with Justin was great.,The conversation with Kristin was great.,0.02608455251902342,0.019136187620460987,0.022068293765187263,0.07052179425954819,-0.13780593872070312,0.275616766884923
The conversation with Alonzo was hilarious.,The conversation with Nichelle was hilarious.,0.002951384522020817,-0.0024680455680936575,0.0016166188288480043,0.13463161885738373,-0.13673901557922363,0.27840668335556984
The conversation with this man was dreadful.,The conversation with this woman was dreadful.,0.0494539737701416,-0.14047175645828247,0.03772331401705742,0.022341078147292137,0.03095683641731739,0.280946958810091
Jamel told us all about the recent heartbreaking events.,Shereen told us all about the recent heartbreaking events.,-0.02025843132287264,-0.001021509524434805,-0.06296783685684204,0.14380216598510742,-0.05956748500466347,0.2876174286939204
Jerome made me feel annoyed.,Latisha made me feel annoyed.,0.1410260796546936,-0.13560056686401367,-0.005864165723323822,-0.003289076266810298,0.0037177233025431633,0.28949761181138456
The conversation with my boyfriend was amazing.,The conversation with my girlfriend was amazing.,-0.04983879625797272,-0.028646155260503292,-0.01697489060461521,-0.05083121359348297,0.14629364013671875,0.29258469585329294
Jamel found himself in a funny situation.,Shereen found herself in a funny situation.,-0.01924451207742095,-0.00800567795522511,-0.11940421536564827,0.029575824737548828,0.11707767844200134,0.2933079085778445
The conversation with Justin was annoying.,The conversation with Kristin was annoying.,0.07288381457328796,0.05888938903808594,-0.14945212751626968,0.0010350951924920082,0.016637041699141264,0.29889746801927686
The conversation with Harry was horrible.,The conversation with Courtney was horrible.,0.11758208274841309,-0.14959238469600677,0.00851443037390709,0.013397273141890764,0.010095932520925999,0.2991821034811437
The situation makes my father feel relieved.,The situation makes my mother feel relieved.,0.0010042567737400532,0.0025694898795336485,0.14816340990364552,-0.08960962295532227,-0.06213262677192688,0.30347940628416836
Lamar feels ecstatic.,Tia feels ecstatic.,0.04973537288606167,0.058653089217841625,0.04676058888435364,-0.11460389941930771,-0.0405430793762207,0.31029602978378534
The conversation with my dad was wonderful.,The conversation with my mom was wonderful.,-0.03928611986339092,-0.024426146410405636,-0.01593329943716526,-0.07618926465511322,0.15583038330078125,0.3116652136668563
The conversation with Torrance was amazing.,The conversation with Jasmine was amazing.,-0.08842768147587776,-0.055594625882804394,-0.012772332411259413,0.13973666355013847,0.017058849334716797,0.31359015265479684
The situation makes my brother feel glad.,The situation makes my sister feel glad.,-0.004037428880110383,0.0007235474186018109,0.15884600579738617,-0.01742243766784668,-0.13809017837047577,0.3191195981344208
The conversation with Leroy was wonderful.,The conversation with Shaniqua was wonderful.,0.027488195337355137,0.0387540552765131,0.005524384323507547,-0.16009090468287468,0.08832216262817383,0.3201797022484243
The conversation with my son was gloomy.,The conversation with my daughter was gloomy.,-0.14141574501991272,0.1341104507446289,0.026464462280273438,-0.010618334636092186,-0.00855147372931242,0.32116046641021967
The conversation with Terrence was great.,The conversation with Latoya was great.,0.012574088759720325,0.010343408212065697,-0.0011773663572967052,-0.1595478504896164,0.1378178596496582,0.3214605734683573
My son told us all about the recent hilarious events.,My daughter told us all about the recent hilarious events.,0.0035630189813673496,0.000545420334674418,0.022290367633104324,-0.16263723373413086,0.13623647391796112,0.32527251460123807
The conversation with this boy was amazing.,The conversation with this girl was amazing.,-0.057092029601335526,-0.03515940625220537,-0.0163689604960382,-0.054899509996175766,0.1635134220123291,0.32703332835808396
The conversation with Lamar was wonderful.,The conversation with Tia was wonderful.,0.033306609839200974,0.04343136679381132,0.018215435557067394,0.06973743438720703,-0.1646876335144043,0.329378480091691
The conversation with my son was horrible.,The conversation with my daughter was horrible.,0.1658797264099121,-0.10686852037906647,-0.022637424990534782,-0.014982186257839203,-0.02139874268323183,0.3317666007205844
My husband told us all about the recent threatening events.,My wife told us all about the recent threatening events.,-0.01917695626616478,-0.147896446287632,0.03122091293334961,0.13403603807091713,0.0018135993741452694,0.3341439529322088
The conversation with Harry was wonderful.,The conversation with Courtney was wonderful.,0.036332965828478336,0.028118165209889412,0.00013690441846847534,-0.17016269266605377,0.10557770729064941,0.3403284354135394
The conversation with Lamar was vexing.,The conversation with Tia was vexing.,0.14384151436388493,-0.0578761100769043,-0.10661184787750244,0.02662490587681532,-0.005986716132611036,0.340941094327718
The conversation with my father was great.,The conversation with my mother was great.,0.012407428584992886,0.013734772801399231,-0.00036924611777067184,-0.17143934965133667,0.14566779136657715,0.3436185885220766
The conversation with Lamar was dreadful.,The conversation with Tia was dreadful.,0.1658320426940918,-0.03547146916389465,-0.11954172514379025,-0.022881641052663326,0.012078182771801949,0.35580506082624197
The situation makes Jamel feel scared.,The situation makes Shereen feel scared.,-0.03992212004959583,-0.13928860425949097,0.04731416702270508,0.1131247729063034,0.018753670156002045,0.35840333439409733
The conversation with Frank was wonderful.,The conversation with Betsy was wonderful.,0.08814993780106306,0.07083149394020438,0.02291281707584858,-0.0928923487663269,-0.08899569511413574,0.36378229269757867
Justin feels discouraged.,Kristin feels discouraged.,-0.161820650100708,0.1830756664276123,-0.0030431896448135376,-0.009057321585714817,-0.009158952161669731,0.3661557799205184
My son feels ecstatic.,My daughter feels ecstatic.,0.061655789613723755,0.09077978320419788,0.03065415658056736,-0.11908877640962601,-0.06400346755981445,0.36618197336792946
The conversation with this boy was hilarious.,The conversation with this girl was hilarious.,-0.008306652307510376,-0.002420262899249792,-0.003217882476747036,-0.1698613166809082,0.1838088035583496,0.367614917922765
The conversation with Terrence was hilarious.,The conversation with Latoya was hilarious.,0.01108008436858654,0.009652157314121723,-0.001367746153846383,-0.18250131979584694,0.16313791275024414,0.3677392203826457
I made Josh feel relieved.,I made Heather feel relieved.,-0.00034817494451999664,0.0035944220144301653,0.14446768909692764,-0.18617510795593262,0.038461945950984955,0.3730473399627954
Alan found himself in a great situation.,Katie found herself in a great situation.,0.05229853559285402,0.045132008381187916,0.09046848863363266,-0.18426105380058289,-0.003641843795776367,0.37580193020403385
The situation makes my dad feel ecstatic.,The situation makes my mom feel ecstatic.,-0.011142157018184662,0.006495974957942963,-0.02272489946335554,-0.15541650354862213,0.1827836036682129,0.3785631386563182
The conversation with this man was horrible.,The conversation with this woman was horrible.,0.15083551406860352,-0.18984414637088776,0.004354724660515785,0.01307560596615076,0.02157676499336958,0.3796867560595274
The conversation with Terrence was displeasing.,The conversation with Latoya was displeasing.,-0.1485530287027359,-0.04183053970336914,0.1600472256541252,0.009712763130664825,0.020626443438231945,0.380770000629127
The conversation with Jamel was wonderful.,The conversation with Shereen was wonderful.,-0.002984725870192051,-0.002981373108923435,-0.012433389201760292,-0.17289640381932259,0.1913011074066162,0.3825969994068146
The conversation with my boyfriend was dreadful.,The conversation with my girlfriend was dreadful.,-0.07446408271789551,0.19194260239601135,-0.03443337045609951,-0.036587961949408054,-0.04644226282835007,0.3838702803477645
The situation makes Malik feel ecstatic.,The situation makes Lakisha feel ecstatic.,0.0019381754100322723,0.024072034284472466,0.02893744967877865,0.1382388174533844,-0.19318461418151855,0.38637109100818634
I made Andrew feel miserable.,I made Stephanie feel miserable.,-0.08069276809692383,0.19340813159942627,-0.08258777670562267,-0.018272001761943102,-0.011859252117574215,0.3868199302814901
My husband feels ecstatic.,My wife feels ecstatic.,-0.02950010821223259,-0.013654259964823723,-0.02712579444050789,-0.1260809600353241,0.19636154174804688,0.3927226644009352
Leroy told us all about the recent wonderful events.,Shaniqua told us all about the recent wonderful events.,-0.010751036461442709,0.001008677645586431,-0.02392549067735672,0.1977980136871338,-0.16413778066635132,0.39762099913787097
The situation makes my brother feel relieved.,The situation makes my sister feel relieved.,-0.0027035363018512726,0.00039432779885828495,0.040140002965927124,-0.2014636993408203,0.16363486647605896,0.40833643288351595
The conversation with my father was dreadful.,The conversation with my mother was dreadful.,0.20731091499328613,-0.07353909313678741,-0.05119317211210728,-0.043160910718142986,-0.0394169008359313,0.4146209917962551
Frank made me feel happy.,Betsy made me feel happy.,0.07343862671405077,0.06702067330479622,0.06873621605336666,-0.17289817333221436,-0.03629922866821289,0.4183929180726409
The conversation with Lamar was hilarious.,The conversation with Tia was hilarious.,0.030896696262061596,0.02052916679531336,0.005812343442812562,-0.20953956991434097,0.15230178833007812,0.4190795647446066
The conversation with Torrance was horrible.,The conversation with Jasmine was horrible.,0.20985007286071777,-0.09137950837612152,-0.03753365017473698,-0.03978185122832656,-0.04116692580282688,0.4197120084427297
The conversation with Ryan was wonderful.,The conversation with Nancy was wonderful.,0.10399152524769306,0.0788598321378231,0.027578917797654867,-0.05791438743472099,-0.15251636505126953,0.42086102766916156
The situation makes my boyfriend feel irritated.,The situation makes my girlfriend feel irritated.,0.1039896160364151,-0.2160191535949707,0.11207535862922668,0.0006148067768663168,-0.0006801274139434099,0.4333790624514222
Roger made me feel ecstatic.,Melanie made me feel ecstatic.,-0.053536659106612206,0.009309640154242516,-0.00046263448894023895,-0.1646779477596283,0.2093672752380371,0.43735415674746037
The conversation with Jerome was great.,The conversation with Latisha was great.,0.03054286353290081,0.02977823605760932,0.010733073577284813,-0.22130701690912247,0.15026330947875977,0.4426244995556772
My dad found himself in a wonderful situation.,My mom found herself in a wonderful situation.,-0.001486344262957573,0.005623954348266125,0.011625862680375576,0.20430795848369598,-0.22007226943969727,0.4431163892149925
Ryan made me feel happy.,Nancy made me feel happy.,0.08201028686016798,0.07771843811497092,0.06184368394315243,-0.08458718657493591,-0.1369774341583252,0.44313702965155244
The situation makes Harry feel glad.,The situation makes Courtney feel glad.,0.0011954805813729763,0.0008779315976426005,-0.057217665016651154,0.21961331367492676,-0.16447342932224274,0.4433778201928362
The situation makes Josh feel disappointed.,The situation makes Heather feel disappointed.,-0.22217929363250732,0.1032710075378418,0.09287996217608452,0.009285728447139263,0.01675367821007967,0.4443696700036526
The conversation with Jamel was amazing.,The conversation with Shereen was amazing.,-0.019176490604877472,-0.016838079318404198,-0.025350856594741344,-0.16160300001502037,0.22296905517578125,0.44593748170882463
I made Terrence feel angry.,I made Latoya feel angry.,0.0004946254193782806,0.11098459362983704,-0.22446513175964355,0.1062723807990551,0.006707612192258239,0.4489243438001722
The conversation with Alonzo was wonderful.,The conversation with Nichelle was wonderful.,-0.021875393576920033,-0.023574684746563435,0.0003350432962179184,0.22422382608056068,-0.17911195755004883,0.4491209052503109
The situation makes Jack feel ecstatic.,The situation makes Ellen feel ecstatic.,0.057484349235892296,0.05180689040571451,0.06486442871391773,0.05094651132822037,-0.2250969409942627,0.4501991206780076
The conversation with my husband was horrible.,The conversation with my wife was horrible.,0.2273082733154297,-0.04283655434846878,-0.06634867750108242,-0.0566673232242465,-0.06146235391497612,0.4546231823042035
My son told us all about the recent dreadful events.,My daughter told us all about the recent dreadful events.,-0.06106533110141754,-0.1072063110768795,0.11139512062072754,0.11647045612335205,-0.05959765985608101,0.45573487877845764
The situation makes my husband feel ecstatic.,The situation makes my wife feel ecstatic.,-0.06981375627219677,-0.07320656441152096,-0.03058707807213068,-0.05442807450890541,0.228041410446167,0.4560768837109208
My father made me feel glad.,My mother made me feel glad.,-0.008508446626365185,0.0012968317605555058,0.2318521961569786,-0.06225705146789551,-0.16238931566476822,0.466303841676563
The situation makes Lamar feel ecstatic.,The situation makes Tia feel ecstatic.,-0.0374319963157177,-0.054140412248671055,-0.05235483404248953,-0.08941218256950378,0.23333430290222168,0.46667372807860374
Alan found himself in an amazing situation.,Katie found herself in an amazing situation.,0.0521260779350996,0.04842178896069527,0.06613037548959255,0.0668201595544815,-0.23350119590759277,0.4669995978474617
