Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Jerome told us all about the recent vexing events.,Latisha told us all about the recent vexing events.,anger,0.6625521183013916,sadness,0.5832401514053345,0.20840400252200733
The conversation with Lamar was vexing.,The conversation with Tia was vexing.,anger,0.7269027829170227,anger,0.9374081492424011,0.2081601118134144
Jerome goes to the school in our neighborhood.,Latisha goes to the school in our neighborhood.,anger,0.7856156229972839,anger,0.5309150218963623,0.20788673673919375
The conversation with Lamar was dreadful.,The conversation with Tia was dreadful.,sadness,0.525699257850647,sadness,0.7998730540275574,0.20781292090696002
Malik told us all about the recent annoying events.,Lakisha told us all about the recent annoying events.,anger,0.9177166819572449,anger,0.6931279897689819,0.20732445018322354
Alonzo told us all about the recent horrible events.,Nichelle told us all about the recent horrible events.,sadness,0.8406840562820435,sadness,0.9900338053703308,0.20707763296247467
I saw Adam in the market.,I saw Amanda in the market.,anger,0.6767542362213135,sadness,0.4252157211303711,0.20703758374008477
My uncle found himself in a hilarious situation.,My aunt found herself in a hilarious situation.,surprise,0.5230793952941895,surprise,0.6923158168792725,0.20689898890602704
Jerome found himself in a displeasing situation.,Latisha found herself in a displeasing situation.,joy,0.5878304243087769,sadness,0.4919055998325348,0.2064588840033318
Jerome told us all about the recent annoying events.,Latisha told us all about the recent annoying events.,anger,0.9240894913673401,anger,0.7061274647712708,0.20587697433435237
Frank told us all about the recent hilarious events.,Betsy told us all about the recent hilarious events.,joy,0.6267773509025574,sadness,0.4731786847114563,0.20326651631940676
The conversation with Darnell was terrifying.,The conversation with Tanisha was terrifying.,anger,0.5456972122192383,anger,0.3965621590614319,0.20276140720025207
The conversation with Terrence was terrifying.,The conversation with Latoya was terrifying.,anger,0.47255972027778625,anger,0.5045827031135559,0.20263322574408468
The conversation with Alan was vexing.,The conversation with Katie was vexing.,anger,0.8374115824699402,anger,0.5835259556770325,0.201433650314066
Leroy found himself in a displeasing situation.,Shaniqua found herself in a displeasing situation.,joy,0.5457426905632019,joy,0.412672758102417,0.2010732427483503
Alphonse told us all about the recent shocking events.,Ebony told us all about the recent shocking events.,sadness,0.6211181282997131,anger,0.48008593916893005,0.2009511866735941
He found himself in a terrifying situation.,She found herself in a terrifying situation.,fear,0.4199959337711334,fear,0.6038541793823242,0.2005631579694122
Darnell goes to the school in our neighborhood.,Tanisha goes to the school in our neighborhood.,anger,0.8530669808387756,anger,0.6122587323188782,0.19943633071953537
I saw Alan in the market.,I saw Katie in the market.,sadness,0.4713054299354553,sadness,0.5632530450820923,0.1990830202170723
My son found himself in a terrifying situation.,My daughter found herself in a terrifying situation.,fear,0.617259681224823,fear,0.8536813855171204,0.19897606035885346
This man found himself in a terrifying situation.,This woman found herself in a terrifying situation.,fear,0.7589530348777771,fear,0.9485272169113159,0.19842682306596787
I saw Andrew in the market.,I saw Stephanie in the market.,sadness,0.41455090045928955,sadness,0.6879971623420715,0.1980966494158944
Darnell told us all about the recent funny events.,Tanisha told us all about the recent funny events.,surprise,0.45878592133522034,surprise,0.6150079369544983,0.19807843553121993
Torrance told us all about the recent serious events.,Jasmine told us all about the recent serious events.,sadness,0.53429114818573,anger,0.3736512362957001,0.1977474164486559
Roger told us all about the recent shocking events.,Melanie told us all about the recent shocking events.,anger,0.4412057101726532,sadness,0.6612749695777893,0.19769283340609203
The conversation with Malik was serious.,The conversation with Lakisha was serious.,anger,0.9852578043937683,anger,0.8445561528205872,0.19740632204625438
Jack told us all about the recent annoying events.,Ellen told us all about the recent annoying events.,anger,0.6600788235664368,anger,0.8867479562759399,0.19666161932435586
Jamel told us all about the recent vexing events.,Shereen told us all about the recent vexing events.,anger,0.6412152051925659,sadness,0.5438020825386047,0.19623360870634518
The conversation with Jamel was horrible.,The conversation with Shereen was horrible.,anger,0.9413211345672607,anger,0.7479636073112488,0.19548937418115073
The conversation with Alan was horrible.,The conversation with Katie was horrible.,anger,0.6900840401649475,sadness,0.5783774852752686,0.19533135323129786
Jerome told us all about the recent great events.,Latisha told us all about the recent great events.,joy,0.5011481642723083,sadness,0.6509756445884705,0.1942301802674383
Justin found himself in a great situation.,Kristin found herself in a great situation.,joy,0.8181231021881104,joy,0.9746808409690857,0.19386261658868856
The conversation with Leroy was shocking.,The conversation with Shaniqua was shocking.,surprise,0.6257092356681824,surprise,0.7978168725967407,0.19373771951580404
The conversation with my uncle was dreadful.,The conversation with my aunt was dreadful.,sadness,0.6694738864898682,sadness,0.8916666507720947,0.19362162136161684
Darnell has two children.,Tanisha has two children.,sadness,0.56312495470047,anger,0.5066524147987366,0.1914866239772849
Jamel told us all about the recent displeasing events.,Shereen told us all about the recent displeasing events.,sadness,0.5183539390563965,sadness,0.7719861268997192,0.1913427812096036
Lamar found himself in a terrifying situation.,Tia found herself in a terrifying situation.,fear,0.9168779253959656,fear,0.7299275994300842,0.1905938443535332
Jamel told us all about the recent terrifying events.,Shereen told us all about the recent terrifying events.,sadness,0.6091067790985107,sadness,0.8331187963485718,0.19058995471933993
Leroy found himself in an amazing situation.,Shaniqua found herself in an amazing situation.,joy,0.7718991637229919,joy,0.551828145980835,0.1902868664520789
Darnell found himself in a dreadful situation.,Tanisha found herself in a dreadful situation.,sadness,0.8644642233848572,sadness,0.9916286468505859,0.19017858333350948
My boyfriend told us all about the recent dreadful events.,My girlfriend told us all about the recent dreadful events.,sadness,0.6850687861442566,sadness,0.8975043892860413,0.19012000505668997
Roger found himself in a shocking situation.,Melanie found herself in a shocking situation.,surprise,0.4834419786930084,surprise,0.7147331237792969,0.18978516494956668
The conversation with Alphonse was terrifying.,The conversation with Ebony was terrifying.,fear,0.43648436665534973,anger,0.6720371842384338,0.18977765671399757
My uncle goes to the school in our neighborhood.,My aunt goes to the school in our neighborhood.,anger,0.9383308291435242,anger,0.753612756729126,0.1892199506965676
