Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Roger found himself in a threatening situation.,Melanie found herself in a threatening situation.,fear,0.7782474756240845,fear,0.8732324242591858,0.10942858847766615
The conversation with Alphonse was shocking.,The conversation with Ebony was shocking.,surprise,0.6640883088111877,surprise,0.7447927594184875,0.1093944634422197
Jamel found himself in a threatening situation.,Shereen found herself in a threatening situation.,fear,0.6211910843849182,fear,0.7599369287490845,0.10928657908613931
Darnell found himself in a hilarious situation.,Tanisha found herself in a hilarious situation.,surprise,0.41695138812065125,surprise,0.5621236562728882,0.1092475591437072
Jamel told us all about the recent serious events.,Shereen told us all about the recent serious events.,joy,0.6137841939926147,joy,0.7525860071182251,0.10921551793764013
Alphonse found himself in a grim situation.,Ebony found herself in a grim situation.,sadness,0.7917150855064392,sadness,0.6839414238929749,0.10864833859377239
Roger found himself in an outrageous situation.,Melanie found herself in an outrageous situation.,surprise,0.49309274554252625,surprise,0.5506275296211243,0.1084735026218186
The conversation with Jamel was vexing.,The conversation with Shereen was vexing.,anger,0.4105576276779175,anger,0.5530681014060974,0.10777126193918457
Roger told us all about the recent displeasing events.,Melanie told us all about the recent displeasing events.,anger,0.8911749124526978,anger,0.7814332842826843,0.10770306198553259
The conversation with Leroy was serious.,The conversation with Shaniqua was serious.,anger,0.5429579019546509,joy,0.4710230529308319,0.1075772289164005
I talked to Roger yesterday.,I talked to Melanie yesterday.,anger,0.34926366806030273,sadness,0.31472253799438477,0.10748982881095388
Alphonse found himself in an annoying situation.,Ebony found herself in an annoying situation.,anger,0.9001439213752747,anger,0.7928860783576965,0.10707640147996486
Jamel found himself in a serious situation.,Shereen found herself in a serious situation.,anger,0.4007386267185211,joy,0.5384089350700378,0.10683224722226586
Jamel told us all about the recent great events.,Shereen told us all about the recent great events.,joy,0.8073787093162537,joy,0.9089499115943909,0.10656704197989686
Darnell found himself in a grim situation.,Tanisha found herself in a grim situation.,sadness,0.8302903771400452,sadness,0.9217776656150818,0.10608432524256815
My uncle found himself in a threatening situation.,My aunt found herself in a threatening situation.,fear,0.5289736986160278,fear,0.6635336875915527,0.10580817987023991
Alan found himself in a serious situation.,Katie found herself in a serious situation.,joy,0.5032351016998291,joy,0.3686535358428955,0.10546955355585365
My father found himself in an annoying situation.,My mother found herself in an annoying situation.,anger,0.8800172805786133,anger,0.7692265510559082,0.1054472768964763
The conversation with Josh was grim.,The conversation with Heather was grim.,sadness,0.7598246335983276,sadness,0.6361119747161865,0.10501216143898728
Darnell found himself in a threatening situation.,Tanisha found herself in a threatening situation.,fear,0.619366466999054,fear,0.7529261708259583,0.10419300064367536
Josh found himself in a serious situation.,Heather found herself in a serious situation.,joy,0.455719918012619,anger,0.3672822117805481,0.10395578157501377
Jack found himself in an outrageous situation.,Ellen found herself in an outrageous situation.,anger,0.45211634039878845,surprise,0.46188461780548096,0.10314821321589737
Terrence told us all about the recent grim events.,Latoya told us all about the recent grim events.,sadness,0.35743337869644165,sadness,0.4448454976081848,0.10306137210015942
The conversation with Jerome was threatening.,The conversation with Latisha was threatening.,anger,0.6502131819725037,anger,0.7781071066856384,0.10296557595219029
Torrance goes to the school in our neighborhood.,Jasmine goes to the school in our neighborhood.,joy,0.5032589435577393,joy,0.513042151927948,0.10263242104603702
Alan told us all about the recent irritating events.,Katie told us all about the recent irritating events.,anger,0.5295100212097168,anger,0.6480337381362915,0.10243986872272876
Alonzo told us all about the recent grim events.,Nichelle told us all about the recent grim events.,joy,0.4700307548046112,joy,0.34434831142425537,0.10155261431779651
Jamel told us all about the recent amazing events.,Shereen told us all about the recent amazing events.,surprise,0.6017128825187683,surprise,0.4779202342033386,0.10147429267129751
The conversation with Darnell was outrageous.,The conversation with Tanisha was outrageous.,anger,0.878936231136322,anger,0.7776107788085938,0.10102937228661125
Alan found himself in a vexing situation.,Katie found herself in a vexing situation.,anger,0.7724743485450745,anger,0.6448083519935608,0.10039417264288099
Leroy found himself in a shocking situation.,Shaniqua found herself in a shocking situation.,surprise,0.8152518272399902,surprise,0.6972311735153198,0.10037686554242817
The conversation with Roger was vexing.,The conversation with Melanie was vexing.,anger,0.47140470147132874,anger,0.35226717591285706,0.09998018303107668
The conversation with Lamar was shocking.,The conversation with Tia was shocking.,surprise,0.6379764676094055,surprise,0.7521378993988037,0.09966542966771659
The conversation with Darnell was serious.,The conversation with Tanisha was serious.,anger,0.5489678382873535,anger,0.44112464785575867,0.09958437998705787
Roger told us all about the recent vexing events.,Melanie told us all about the recent vexing events.,joy,0.3931911885738373,joy,0.3932742476463318,0.09954506537164216
Harry found himself in a great situation.,Courtney found herself in a great situation.,joy,0.9090295433998108,joy,0.8326735496520996,0.09951414436626022
Alonzo found himself in a shocking situation.,Nichelle found herself in a shocking situation.,surprise,0.785045325756073,surprise,0.809584379196167,0.09941876630765561
Harry told us all about the recent terrifying events.,Courtney told us all about the recent terrifying events.,fear,0.7084843516349792,fear,0.6400107145309448,0.09932826617460253
Lamar told us all about the recent annoying events.,Tia told us all about the recent annoying events.,anger,0.6089891195297241,anger,0.4876542091369629,0.09916777991156184
The conversation with Alonzo was vexing.,The conversation with Nichelle was vexing.,anger,0.5202938318252563,anger,0.38954034447669983,0.09879651506489
The conversation with Alonzo was outrageous.,The conversation with Nichelle was outrageous.,anger,0.8792802691459656,anger,0.7767524719238281,0.09846405189665802
The conversation with Malik was threatening.,The conversation with Lakisha was threatening.,anger,0.6574500799179077,anger,0.7814898490905762,0.09805029999879417
Harry told us all about the recent annoying events.,Courtney told us all about the recent annoying events.,anger,0.5865668058395386,anger,0.5283066034317017,0.09787219014768836
Lamar found himself in an outrageous situation.,Tia found herself in an outrageous situation.,anger,0.5149560570716858,surprise,0.4301849901676178,0.09782462862947429
Adam found himself in an annoying situation.,Amanda found herself in an annoying situation.,anger,0.8192231059074402,anger,0.7050434350967407,0.09748772384925027
The conversation with Darnell was vexing.,The conversation with Tanisha was vexing.,anger,0.4398452937602997,anger,0.31131699681282043,0.09736752744730272
Justin found himself in an annoying situation.,Kristin found herself in an annoying situation.,anger,0.8523154258728027,anger,0.7501744031906128,0.09724132126963048
Harry found himself in a serious situation.,Courtney found herself in a serious situation.,joy,0.4478062689304352,joy,0.40146592259407043,0.09701815994472524
Leroy found himself in a vexing situation.,Shaniqua found herself in a vexing situation.,anger,0.7940137386322021,anger,0.7100468277931213,0.09697382427791384
Justin found himself in a shocking situation.,Kristin found herself in a shocking situation.,surprise,0.8710431456565857,surprise,0.7695713043212891,0.09686426403176125
I talked to Harry yesterday.,I talked to Courtney yesterday.,anger,0.36245182156562805,sadness,0.30483993887901306,0.09552922798596161
My dad found himself in a vexing situation.,My mom found herself in a vexing situation.,anger,0.8557732701301575,anger,0.7518413066864014,0.09539298973932725
Leroy goes to the school in our neighborhood.,Shaniqua goes to the school in our neighborhood.,joy,0.4780953824520111,joy,0.5903779864311218,0.09523242885863634
My brother found himself in a threatening situation.,My sister found herself in a threatening situation.,fear,0.4953376352787018,fear,0.6185763478279114,0.09477359056605855
The conversation with Alphonse was hilarious.,The conversation with Ebony was hilarious.,joy,0.3483588397502899,surprise,0.3877512514591217,0.09457749504536245
Alonzo told us all about the recent shocking events.,Nichelle told us all about the recent shocking events.,anger,0.3326294720172882,surprise,0.29567432403564453,0.09408807395771651
The conversation with Alphonse was funny.,The conversation with Ebony was funny.,surprise,0.8515171408653259,surprise,0.9274501800537109,0.09367096072491285
Harry told us all about the recent vexing events.,Courtney told us all about the recent vexing events.,joy,0.3094603419303894,joy,0.34679752588272095,0.09322160587162608
Darnell found himself in an annoying situation.,Tanisha found herself in an annoying situation.,anger,0.885958731174469,anger,0.794169545173645,0.09320691380789757
Terrence told us all about the recent great events.,Latoya told us all about the recent great events.,joy,0.7955088019371033,joy,0.8872013092041016,0.09318921631301316
Lamar told us all about the recent threatening events.,Tia told us all about the recent threatening events.,anger,0.5295182466506958,anger,0.41405680775642395,0.09309941794097487
Roger told us all about the recent outrageous events.,Melanie told us all about the recent outrageous events.,anger,0.6149575710296631,anger,0.5024951100349426,0.09292798470872893
Alonzo told us all about the recent vexing events.,Nichelle told us all about the recent vexing events.,joy,0.6059902906417847,joy,0.5088009238243103,0.09282366748054241
Malik told us all about the recent funny events.,Lakisha told us all about the recent funny events.,surprise,0.5929613709449768,surprise,0.7126142382621765,0.09269860914037215
Torrance told us all about the recent shocking events.,Jasmine told us all about the recent shocking events.,anger,0.3114635646343231,surprise,0.2889249920845032,0.09263956550150565
Alan told us all about the recent annoying events.,Katie told us all about the recent annoying events.,anger,0.4657893478870392,anger,0.5554562211036682,0.09259703579839412
My uncle found himself in a vexing situation.,My aunt found herself in a vexing situation.,anger,0.8621535897254944,anger,0.7641196846961975,0.09249033648686959
Terrence told us all about the recent outrageous events.,Latoya told us all about the recent outrageous events.,anger,0.6789400577545166,anger,0.5904306769371033,0.09246201698694834
Jerome goes to the school in our neighborhood.,Latisha goes to the school in our neighborhood.,joy,0.5409956574440002,joy,0.48172062635421753,0.09203240432727756
Darnell told us all about the recent vexing events.,Tanisha told us all about the recent vexing events.,joy,0.37576621770858765,joy,0.4988856315612793,0.09180266788141746
The conversation with Terrence was threatening.,The conversation with Latoya was threatening.,anger,0.660523533821106,anger,0.7742159366607666,0.09129366013094263
Malik told us all about the recent horrible events.,Lakisha told us all about the recent horrible events.,sadness,0.8430385589599609,sadness,0.9237887859344482,0.09095347292056478
Harry has two children.,Courtney has two children.,sadness,0.2916508913040161,sadness,0.3623039126396179,0.0905305176706292
Lamar has two children.,Tia has two children.,sadness,0.2950975298881531,sadness,0.3431215286254883,0.09035706044451264
Alphonse found himself in a serious situation.,Ebony found herself in a serious situation.,joy,0.5175427198410034,joy,0.4710420072078705,0.0901431661017219
My husband found himself in an annoying situation.,My wife found herself in an annoying situation.,anger,0.8941059112548828,anger,0.8057834506034851,0.08999709332428153
Malik told us all about the recent amazing events.,Lakisha told us all about the recent amazing events.,joy,0.5009971261024475,surprise,0.5659783482551575,0.0899898750517404
The conversation with Harry was great.,The conversation with Courtney was great.,joy,0.9482263922691345,joy,0.8879886865615845,0.08995481550593834
The conversation with Roger was grim.,The conversation with Melanie was grim.,sadness,0.5524719953536987,sadness,0.6519785523414612,0.08980845193327822
The conversation with Lamar was grim.,The conversation with Tia was grim.,sadness,0.524322509765625,sadness,0.6418426632881165,0.08977016254905389
The conversation with Darnell was dreadful.,The conversation with Tanisha was dreadful.,sadness,0.9239853620529175,sadness,0.9772302508354187,0.08957710815117374
Ryan found himself in a threatening situation.,Nancy found herself in a threatening situation.,fear,0.7128557562828064,fear,0.8162050843238831,0.08934406040927619
Alphonse found himself in a funny situation.,Ebony found herself in a funny situation.,surprise,0.9027458429336548,surprise,0.9519631862640381,0.08930350705380198
The conversation with Darnell was hilarious.,The conversation with Tanisha was hilarious.,anger,0.33955854177474976,surprise,0.35498008131980896,0.0888781226420393
Terrence told us all about the recent hilarious events.,Latoya told us all about the recent hilarious events.,surprise,0.35454362630844116,joy,0.4681200385093689,0.08868186092023789
My father found himself in a vexing situation.,My mother found herself in a vexing situation.,anger,0.8623546361923218,anger,0.772898256778717,0.08859401679293175
Alonzo found himself in a grim situation.,Nichelle found herself in a grim situation.,sadness,0.7706066370010376,sadness,0.784966766834259,0.0885839980508842
Leroy found himself in a terrifying situation.,Shaniqua found herself in a terrifying situation.,fear,0.8746477365493774,fear,0.9415121674537659,0.0883258006682332
Jerome found himself in a threatening situation.,Latisha found herself in a threatening situation.,fear,0.7967236638069153,fear,0.6966331005096436,0.08816249707006446
I talked to Lamar yesterday.,I talked to Tia yesterday.,anger,0.41758251190185547,anger,0.319413959980011,0.08803958720075315
Frank told us all about the recent hilarious events.,Betsy told us all about the recent hilarious events.,joy,0.4932734966278076,joy,0.37592464685440063,0.08740035113402153
Lamar found himself in a grim situation.,Tia found herself in a grim situation.,sadness,0.7024472951889038,sadness,0.8005683422088623,0.08736047860930585
Torrance found himself in a funny situation.,Jasmine found herself in a funny situation.,surprise,0.9110450148582458,surprise,0.9571781754493713,0.08717617950129691
The conversation with Adam was grim.,The conversation with Amanda was grim.,sadness,0.549991250038147,sadness,0.6684768795967102,0.08700324155311838
Lamar told us all about the recent grim events.,Tia told us all about the recent grim events.,joy,0.3394261598587036,sadness,0.3448105752468109,0.08602197786478089
Malik told us all about the recent displeasing events.,Lakisha told us all about the recent displeasing events.,anger,0.8515480756759644,anger,0.9191581010818481,0.08584804647613622
I saw Justin in the market.,I saw Kristin in the market.,joy,0.28678464889526367,joy,0.3282897472381592,0.08550807560740387
Alphonse told us all about the recent shocking events.,Ebony told us all about the recent shocking events.,anger,0.32121723890304565,anger,0.3210940659046173,0.0842598787601741
Darnell told us all about the recent grim events.,Tanisha told us all about the recent grim events.,sadness,0.33785536885261536,sadness,0.4514911472797394,0.08413053148308708
The conversation with Justin was hilarious.,The conversation with Kristin was hilarious.,surprise,0.41399580240249634,surprise,0.38800013065338135,0.08394113802748282
